"Column1","Тип квартиры","м^2","Этаж","Этажей в доме","Адресс","Станция метро","Окна во двор","Окна на улицу","Окна на солнечную сторону","Новостройка","Цена квартиры","Цена за м^2"
"2922","2-к. квартира","51,2 м²","3","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","11340288","221 490 ₽ за м²"
"2923","Квартира-студия","27,2 м²","18","20 эт.","с/п Булатниковское, пос. Битца, стр. 12","Улица Старокачаловская","1","0","0","1","5690000","209 191 ₽ за м²"
"2924","3-к. квартира","78,5 м²","2","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","19813400","252 400 ₽ за м²"
"2925","Квартира-студия","19,9 м²","32","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","6503001","326 784 ₽ за м²"
"2926","1-к. квартира","33,8 м²","28","33 эт.","2-й Нагатинский пр-д, д. 2, корп. 4","Коломенская","1","0","0","1","11110600","328 716 ₽ за м²"
"2927","3-к. квартира","97,2 м²","4","12 эт.","жилой комплекс Барклая 6, к2","Парк Победы","1","0","0","1","27396403","281 856 ₽ за м²"
"2928","2-к. апартаменты","52 м²","10","21 эт.","улица Сокольнический Вал, 1к1","Рижская","1","0","0","1","11999520","230 760 ₽ за м²"
"2929","2-к. квартира","46,2 м²","7","32 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","1","0","0","1","9393384","203 320 ₽ за м²"
"2930","1-к. квартира","33,9 м²","2","24 эт.","улица Римского-Корсакова, Жилой комплекс «Римского-Корсакова 11»","Бибирево","1","0","0","1","8548902","252 180 ₽ за м²"
"2931","2-к. квартира","35,9 м²","12","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","9322512","259 680 ₽ за м²"
"2932","Апартаменты-студия","21,7 м²","13","21 эт.","улица Сокольнический Вал, 1к1","Рижская","1","0","0","1","6519114","300 420 ₽ за м²"
"2933","2-к. квартира","48 м²","31","38 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","14129054","294 355 ₽ за м²"
"2934","2-к. квартира","65 м²","3","24 эт.","улица Римского-Корсакова, Жилой комплекс «Римского-Корсакова 11»","Бибирево","1","0","0","1","14238900","219 060 ₽ за м²"
"2935","2-к. квартира","65,6 м²","14","19 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","1","0","0","1","11364281","173 236 ₽ за м²"
"2936","2-к. квартира","46,3 м²","3","33 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","1","0","0","1","10717338","231 476 ₽ за м²"
"2937","2-к. квартира","45,9 м²","32","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","12605058","274 620 ₽ за м²"
"2938","Квартира-студия","19,9 м²","25","33 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","1","0","0","1","7104578","357 014 ₽ за м²"
"2939","2-к. квартира","57,5 м²","8","16 эт.","ул. проезд Дежнёва, вл. 32","Бабушкинская","1","0","0","1","12021000","209 061 ₽ за м²"
