"Column1","Тип квартиры","м^2","Этаж","Этажей в доме","Адресс","Станция метро","Окна во двор","Окна на улицу","Окна на солнечную сторону","Новостройка","Цена квартиры","Цена за м^2"
"0","2-к. квартира","62,5 м²","6","10 эт.","пр-д Измайловский, д. 22, корп. 1","Локомотив","0","0","1","1","12593750","201 500 ₽ за м²"
"1","Своб. планировка","52,1 м²","1","24 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","17958870","344 700 ₽ за м²"
"2","1-к. квартира","30 м²","14","30 эт.","Ильменский проезд, вл. 12","Селигерская","0","0","1","1","9400000","313 333 ₽ за м²"
"3","2-к. квартира","89,7 м²","3","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","28289500","315 379 ₽ за м²"
"4","2-к. квартира","52,8 м²","5","14 эт.","ш. Ленинградское, д. 228, корп. 3","рн Молжаниновский","0","0","1","1","12000000","227 273 ₽ за м²"
"5","3-к. квартира","110,6 м²","3","25 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","41698633","377 022 ₽ за м²"
"6","3-к. квартира","74 м²","5","20 эт.","Волоколамское ш., стр. 8","Мякинино","0","0","1","1","22000000","297 297 ₽ за м²"
"7","3-к. квартира","96,4 м²","10","24 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","39146112","406 080 ₽ за м²"
"8","5-к. апартаменты","165 м²","2","4 эт.","Олимпийский пр-т, вл. 10","Цветной бульвар","0","0","1","1","74250000","450 000 ₽ за м²"
"9","2-к. квартира","68,1 м²","17","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","25225100","370 413 ₽ за м²"
"10","2-к. квартира","45,9 м²","9","32 эт.","Кронштадтский бульвар, корп. 1/3","Водный стадион","0","0","1","1","13800000","300 654 ₽ за м²"
"11","1-к. квартира","31,9 м²","24","31 эт.","ул. Газгольдерная, вл. 8","Нижегородская","0","0","1","1","10500000","329 154 ₽ за м²"
"12","3-к. квартира","110,9 м²","17","25 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","45947533","414 315 ₽ за м²"
"13","1-к. квартира","40,1 м²","12","12 эт.","ул. Складочная, 6к10","Савёловская","0","0","1","1","14700000","366 584 ₽ за м²"
"14","1-к. апартаменты","48,2 м²","8","16 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","25064000","520 000 ₽ за м²"
"15","1-к. квартира","35,4 м²","19","21 эт.","пос. Московский, ул. Родниковая, д. 30, корп. 3","Саларьево","0","0","1","1","9600000","271 186 ₽ за м²"
"16","4-к. квартира","116,5 м²","28","30 эт.","ул. Шеногина, вл. 2","Шелепиха","0","0","1","1","62350000","535 193 ₽ за м²"
"17","2-к. квартира","62,2 м²","3","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","20723174","333 170 ₽ за м²"
"18","2-к. квартира","65,8 м²","5","22 эт.","ул. Мытная, д. 40-44, корп. 2 (ЗОНА Б)","Шаболовская","0","0","1","1","40500000","615 502 ₽ за м²"
"19","2-к. апартаменты","61,3 м²","7","10 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","40914701","667 450 ₽ за м²"
"20","2-к. квартира","38 м²","7","15 эт.","пр-т Рязанский, д. 6А","Стахановская","0","0","1","1","14500000","381 579 ₽ за м²"
"21","2-к. квартира","79,8 м²","9","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","28156041","352 833 ₽ за м²"
"22","2-к. апартаменты","60,2 м²","3","8 эт.","ул. Верхняя Масловка, д. 20, стр. 1","Петровский парк","0","0","1","1","23779000","395 000 ₽ за м²"
"23","1-к. квартира","47,5 м²","23","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","19108115","402 276 ₽ за м²"
"24","1-к. апартаменты","38 м²","17","21 эт.","ул. Зорге, вл. 9, корп. 2","Хорошёво","0","0","1","1","14400000","378 947 ₽ за м²"
"25","2-к. квартира","40 м²","9","30 эт.","ул. Петра Алексеева, вл. 12, корп. 5","Давыдково","0","0","1","1","16300000","407 500 ₽ за м²"
"26","1-к. квартира","43,8 м²","6","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","17998224","410 918 ₽ за м²"
"27","2-к. апартаменты","110 м²","2","4 эт.","Олимпийский пр-т, вл. 10","Цветной бульвар","0","0","1","1","49500000","450 000 ₽ за м²"
"28","1-к. квартира","43,8 м²","5","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","17950077","409 819 ₽ за м²"
"29","2-к. квартира","50 м²","10","21 эт.","ул. 2-я Звенигородская, вл. 12","Улица года","0","0","1","1","53000000","1 060 000 ₽ за м²"
"30","1-к. квартира","35 м²","2","4 эт.","п. Булатниковское, дер. Жабкино, мкр. «Булатниково», д. 15","Бульвар Дмитрия Донского","0","0","1","1","7900000","225 714 ₽ за м²"
"31","1-к. квартира","44,1 м²","13","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","19500935","442 198 ₽ за м²"
"32","Квартира-студия","21,7 м²","9","55 эт.","Волоколамское ш., стр. 1","Волоколамская","0","0","1","1","7400000","341 014 ₽ за м²"
"33","Квартира-студия","34,1 м²","14","18 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","16294347","477 840 ₽ за м²"
"34","2-к. квартира","52 м²","9","33 эт.","ул. Амурская, д. 2А, корп. 3","Локомотив","0","0","1","1","15500000","298 077 ₽ за м²"
"35","1-к. квартира","47,4 м²","3","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","17334180","365 700 ₽ за м²"
"36","2-к. квартира","44,8 м²","13","14 эт.","пр-т Генерала Дорохова, стр. 2","Минская","0","0","1","1","23500000","524 554 ₽ за м²"
"37","3-к. квартира","80,8 м²","17","25 эт.","ул. Лобачевского/платформа «Матвеевская», кв-л 3, корп. 1","Аминьевская","0","0","1","1","28000000","346 535 ₽ за м²"
"38","2-к. квартира","61,4 м²","4","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","20742148","337 820 ₽ за м²"
"39","2-к. квартира","73 м²","21","23 эт.","ул. Чоботовская, д. 2, корп. 2","Новопеределкино","0","0","1","1","19000000","260 274 ₽ за м²"
"40","2-к. апартаменты","67,8 м²","6","16 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","38999999","575 221 ₽ за м²"
"41","1-к. квартира","32,1 м²","10","23 эт.","жилой комплекс Люблинский Парк, корп. 9-10","Братиславская","0","0","1","1","9250000","288 162 ₽ за м²"
"42","1-к. квартира","37,6 м²","10","33 эт.","Ижорская ул., д. 6, с.5","Ховрино","0","0","1","1","9990000","265 691 ₽ за м²"
"43","2-к. апартаменты","84,8 м²","16","16 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","75235671","887 213 ₽ за м²"
"44","2-к. квартира","57,6 м²","3","16 эт.","п. Сосенское, дер. Николо-Хованское, кв-л 26, д. 4","Прокшино","0","0","1","1","12900000","223 958 ₽ за м²"
"45","Квартира-студия","26,1 м²","2","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","9297081","356 210 ₽ за м²"
"46","1-к. квартира","42 м²","7","14 эт.","ш. Ленинградское, д. 228, корп. 3","рн Молжаниновский","0","0","1","1","8700000","207 143 ₽ за м²"
"47","1-к. квартира","46,6 м²","2","26 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","18793152","403 287 ₽ за м²"
"48","Своб. планировка","33,7 м²","16","18 эт.","Берёзовая аллея, д. 19, корп. 1","Ботанический сад","0","0","1","1","9150000","271 513 ₽ за м²"
"49","2-к. квартира","89,7 м²","4","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","30368016","338 551 ₽ за м²"
"50","1-к. квартира","37,6 м²","10","33 эт.","Ижорская ул., д. 6, с.5","Ховрино","0","0","1","1","9990000","265 691 ₽ за м²"
"51","2-к. квартира","89,7 м²","4","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","30368016","338 551 ₽ за м²"
"52","2-к. квартира","57,6 м²","3","16 эт.","п. Сосенское, дер. Николо-Хованское, кв-л 26, д. 4","Прокшино","0","0","1","1","12900000","223 958 ₽ за м²"
"53","2-к. квартира","85,9 м²","17","25 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","35895033","417 870 ₽ за м²"
"54","4-к. квартира","98,3 м²","11","17 эт.","пос. Московский, ул. Родниковая, д. 30, корп. 3","Саларьево","0","0","1","1","24900000","253 306 ₽ за м²"
"55","2-к. квартира","66,4 м²","11","32 эт.","ул. Обручева, вл. 23","Калужская","0","0","1","1","21799000","328 298 ₽ за м²"
"56","1-к. апартаменты","65,1 м²","10","16 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","44147901","678 155 ₽ за м²"
"57","1-к. квартира","27,5 м²","19","20 эт.","с/п Булатниковское, пос. Битца, стр. 12","Улица Старокачаловская","0","0","1","1","6150000","223 636 ₽ за м²"
"58","2-к. квартира","72,9 м²","7","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","27041920","370 945 ₽ за м²"
"59","Квартира-студия","24 м²","6","32 эт.","ул. Газгольдерная, вл. 8","Нижегородская","0","0","1","1","7300000","304 167 ₽ за м²"
"60","2-к. квартира","69,6 м²","2","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","22980400","330 178 ₽ за м²"
"61","2-к. квартира","81 м²","8","10 эт.","пр-д Измайловский, д. 22, корп. 1","Локомотив","0","0","1","1","15997500","197 500 ₽ за м²"
"62","1-к. апартаменты","59,5 м²","15","15 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","47810272","803 534 ₽ за м²"
"63","3-к. квартира","68,1 м²","14","23 эт.","ул. Бартеневская, стр. 1.4","Бунинская аллея","0","0","1","1","13500000","198 238 ₽ за м²"
"64","Своб. планировка","69,9 м²","13","16 эт.","пр-т Лихачёва, д. 12, корп. 1","Технопарк","0","0","1","1","30000000","429 185 ₽ за м²"
"65","2-к. квартира","79 м²","4","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","27178417","344 031 ₽ за м²"
"66","2-к. квартира","62 м²","15","18 эт.","ул. 6-я Радиальная , д. 7/6, корп. 3","Царицыно","0","0","1","1","14000000","225 806 ₽ за м²"
"67","2-к. апартаменты","64,6 м²","8","15 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","38178600","591 000 ₽ за м²"
"68","1-к. квартира","38,4 м²","14","22 эт.","ул. Большая Спасская, вл. 35-37","Комсомольская","0","0","1","1","22900000","596 354 ₽ за м²"
"69","1-к. квартира","41,6 м²","5","21 эт.","с/п Булатниковское, пос. Битца, стр. 12","Улица Старокачаловская","0","0","1","1","7900000","189 904 ₽ за м²"
"70","2-к. квартира","62,3 м²","4","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","20849941","334 670 ₽ за м²"
"71","2-к. квартира","79,8 м²","15","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","29377440","368 138 ₽ за м²"
"72","1-к. квартира","51,4 м²","6","18 эт.","ул. Малыгина, д. 12","Медведково","0","0","1","1","11300000","219 844 ₽ за м²"
"73","Квартира-студия","25,6 м²","44","52 эт.","ул. Минская, стр. 1","Раменки","0","0","1","1","15000000","585 938 ₽ за м²"
"74","2-к. квартира","61,9 м²","2","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","20204160","326 400 ₽ за м²"
"75","3-к. квартира","78,7 м²","25","52 эт.","Волоколамское ш., стр. 6","Тушинская","0","0","1","1","21000000","266 836 ₽ за м²"
"76","Апартаменты-студия","28,9 м²","5","10 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","20037312","693 333 ₽ за м²"
"77","3-к. квартира","59 м²","25","25 эт.","ул. Тагильская, вл. 4, стр. 13","Бульвар Рокоссовского","0","0","1","1","18500000","313 559 ₽ за м²"
"78","Апартаменты-студия","31,9 м²","3","15 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","18916700","593 000 ₽ за м²"
"79","1-к. квартира","37,5 м²","16","32 эт.","жилой комплекс Руставели 14, к1/2","Бутырская","0","0","1","1","13600000","362 667 ₽ за м²"
"80","1-к. квартира","48,1 м²","2","26 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","16122800","335 193 ₽ за м²"
"81","Апартаменты-студия","22,9 м²","7","19 эт.","ул. Летниковская, стр. 4","Павелецкая","0","0","1","1","11700000","510 917 ₽ за м²"
"82","Квартира-студия","25 м²","9","14 эт.","ш. Ленинградское, д. 228, корп. 3","рн Молжаниновский","0","0","1","1","7386000","295 440 ₽ за м²"
"83","Квартира-студия","26,6 м²","3","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","9736132","366 020 ₽ за м²"
"84","Апартаменты-студия","17,5 м²","5","21 эт.","пр-д Автомобильный, вл. 4","Волгоградский проспект","0","0","1","1","6000000","342 857 ₽ за м²"
"85","2-к. квартира","72,2 м²","23","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","28691550","397 390 ₽ за м²"
"86","3-к. апартаменты","56,4 м²","13","23 эт.","пр-т Волгоградский, Апарт-комплекс «HighWay»","Волгоградский проспект","0","0","1","1","13490000","239 184 ₽ за м²"
"87","2-к. апартаменты","67,3 м²","3","15 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","39016396","579 738 ₽ за м²"
"88","2-к. апартаменты","55,5 м²","16","16 эт.","пос. Мосрентген, Бизнес-парк Г10, корп. 1.2","Румянцево","0","0","1","1","14950000","269 369 ₽ за м²"
"89","1-к. квартира","38,1 м²","4","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","14216253","373 130 ₽ за м²"
"90","2-к. квартира","64,4 м²","8","21 эт.","ул. 2-я Звенигородская, вл. 12","Улица года","0","0","1","1","54750000","850 155 ₽ за м²"
"91","1-к. квартира","45 м²","25","35 эт.","ул. Фестивальная, вл. 15, стр. 25","Беломорская","0","0","1","1","17000000","377 778 ₽ за м²"
"92","3-к. квартира","86,3 м²","23","26 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","35827618","415 152 ₽ за м²"
"93","Квартира-студия","28,4 м²","7","30 эт.","пр-т Волгоградский, д. 32/5, корп. 1","Угрешская","0","0","1","1","11500000","404 930 ₽ за м²"
"94","2-к. апартаменты","84,9 м²","13","17 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","49242000","580 000 ₽ за м²"
"95","Квартира-студия","20,2 м²","9","20 эт.","ул. Ижорская, ЖК «Бусиновский парк»","Ховрино","0","0","1","1","6290000","311 386 ₽ за м²"
"96","3-к. квартира","79,2 м²","3","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","26350632","332 710 ₽ за м²"
"97","Квартира-студия","24,7 м²","10","30 эт.","пр-т Волгоградский, вл. 32/3, 32/5","Угрешская","0","0","1","1","9000000","364 372 ₽ за м²"
"98","1-к. квартира","43 м²","6","23 эт.","ул. Люблинская, вл. 72, корп. 11","Братиславская","0","0","1","1","10500000","244 186 ₽ за м²"
"99","Квартира-студия","24,5 м²","3","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","10670383","435 526 ₽ за м²"
"100","3-к. квартира","79,2 м²","3","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","26350632","332 710 ₽ за м²"
"101","1-к. квартира","43 м²","6","23 эт.","ул. Люблинская, вл. 72, корп. 11","Братиславская","0","0","1","1","10500000","244 186 ₽ за м²"
"102","2-к. апартаменты","84,9 м²","13","17 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","49242000","580 000 ₽ за м²"
"103","Квартира-студия","20 м²","27","33 эт.","Северо-Восточный административный округ, жилой комплекс Сигнальный 16, к1/2","Владыкино","0","0","1","1","7500000","375 000 ₽ за м²"
"104","2-к. квартира","52 м²","7","15 эт.","п. Сосенское, пр-т Прокшинский, д. 11","Прокшино","0","0","1","1","11595000","222 981 ₽ за м²"
"105","3-к. квартира","86,3 м²","23","26 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","35827618","415 152 ₽ за м²"
"106","3-к. квартира","90,7 м²","11","23 эт.","ул. Нижние Мневники, з/у 11","Терехово","0","0","1","1","47850000","527 563 ₽ за м²"
"107","Квартира-студия","24,5 м²","3","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","10670383","435 526 ₽ за м²"
"108","3-к. квартира","88,2 м²","6","17 эт.","Лодочная ул., 11","Тушинская","0","0","1","1","26000000","294 785 ₽ за м²"
"109","2-к. квартира","67,1 м²","10","22 эт.","пр-т Мира, вл. 105","ВДНХ","0","0","1","1","26500000","394 933 ₽ за м²"
"110","1-к. квартира","42,9 м²","5","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","16787000","391 305 ₽ за м²"
"111","2-к. квартира","53,2 м²","20","25 эт.","жилой комплекс Люблинский Парк, корп. 9-10","Братиславская","0","0","1","1","14000000","263 158 ₽ за м²"
"112","3-к. квартира","79,2 м²","4","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","26427456","333 680 ₽ за м²"
"113","3-к. квартира","93,6 м²","23","51 эт.","пр-д Шмитовский, вл. 39, корп. 4","Шелепиха","0","0","1","1","36000000","384 615 ₽ за м²"
"114","1-к. квартира","41,2 м²","14","22 эт.","ул. Полковника Романова, д. 7к1","Медведково","0","0","1","1","7500000","182 039 ₽ за м²"
"115","1-к. квартира","47,5 м²","19","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","18719025","394 085 ₽ за м²"
"116","1-к. квартира","40,9 м²","6","12 эт.","п. Внуковское, дер. Рассказовка, уч. 13/2","Рассказовка","0","0","1","1","10500000","256 724 ₽ за м²"
"117","2-к. квартира","61,2 м²","15","18 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","22705200","371 000 ₽ за м²"
"118","2-к. квартира","58,2 м²","16","43 эт.","ул. 2-я Хуторская, вл. 34","Дмитровская","0","0","1","1","20400000","350 515 ₽ за м²"
"119","Своб. планировка","43,8 м²","1","24 эт.","ул. Летная, д. 95Б, корп. 2","Спартак","0","0","1","1","15965100","364 500 ₽ за м²"
"120","1-к. квартира","39,7 м²","17","17 эт.","пос. Московский, ул. Родниковая, д. 30, корп. 3","Саларьево","0","0","1","1","12000000","302 267 ₽ за м²"
"121","2-к. апартаменты","80,6 м²","5","15 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","49810800","618 000 ₽ за м²"
"122","Квартира-студия","20 м²","5","33 эт.","ЖК «Перовское 2», корп. 3.2","Нижегородская","0","0","1","1","6490000","324 500 ₽ за м²"
"123","3-к. квартира","73 м²","7","9 эт.","ул. Полковая, стр. 1","Марьина Роща","0","0","1","1","30000000","410 959 ₽ за м²"
"124","1-к. апартаменты","44,4 м²","3","10 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","29300004","659 910 ₽ за м²"
"125","Квартира-студия","19,9 м²","12","33 эт.","жилой комплекс Мичуринский Парк, корп. 1.3-1.6","Озёрная","0","0","1","1","8550000","429 648 ₽ за м²"
"126","2-к. апартаменты","64,8 м²","13","15 эт.","пр-т Ленинградский, вл. 8","Белорусская","0","0","1","1","43464750","670 752 ₽ за м²"
"127","2-к. квартира","47 м²","4","36 эт.","ул. Шеногина/Шелепихинская наб., ЖК «Сердце столицы»","Шелепиха","0","0","1","1","27990000","595 532 ₽ за м²"
"128","2-к. квартира","86,3 м²","10","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","31034916","359 617 ₽ за м²"
"129","2-к. квартира","47,3 м²","23","34 эт.","ул. Обручева, вл. 23","Калужская","0","0","1","1","21000000","443 975 ₽ за м²"
"130","3-к. квартира","70 м²","10","23 эт.","п. Внуковское, ул. Анны Ахматовой, д. 13/6А, стр. 2","Рассказовка","0","0","1","1","15100000","215 714 ₽ за м²"
"131","3-к. квартира","89,7 м²","3","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","29277183","326 390 ₽ за м²"
"132","1-к. квартира","34,5 м²","32","33 эт.","жилой комплекс Лосиноостровский Парк, к1/4","Бульвар Рокоссовского","0","0","1","1","9900000","286 957 ₽ за м²"
"133","Квартира-студия","26,1 м²","3","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","9581049","367 090 ₽ за м²"
"134","3-к. квартира","72,2 м²","15","33 эт.","2-й Нагатинский пр-д, д. 2, корп. 3","Коломенская","0","0","1","1","20600000","285 319 ₽ за м²"
"135","Квартира-студия","20,1 м²","25","27 эт.","ЖК «Перовское 2», корп. 2.1","Нижегородская","0","0","1","1","6900000","343 284 ₽ за м²"
"136","2-к. квартира","90,6 м²","15","16 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","32788140","361 900 ₽ за м²"
"137","2-к. апартаменты","51,7 м²","2","7 эт.","Зеленоград","","0","0","1","1","8582200","166 000 ₽ за м²"
"138","Квартира-студия","24,5 м²","10","25 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","12203555","498 104 ₽ за м²"
"139","1-к. квартира","28,3 м²","19","19 эт.","ул. Лосиноостровская, стр. 1","Белокаменная","0","0","1","1","7999000","282 650 ₽ за м²"
"140","2-к. квартира","54,9 м²","18","31 эт.","ул. Газгольдерная, вл. 8","Нижегородская","0","0","1","1","17000000","309 654 ₽ за м²"
"141","Квартира-студия","24,5 м²","2","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","8899135","363 230 ₽ за м²"
"142","3-к. квартира","100,8 м²","17","23 эт.","2-й Котляковский пер., д. 4, корп. 1","Варшавская","0","0","1","1","25999000","257 927 ₽ за м²"
"143","1-к. квартира","37,8 м²","7","18 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","16730925","442 617 ₽ за м²"
"144","Квартира-студия","21,6 м²","4","15 эт.","ул. Производственная, вл. 6, корп. 15","Солнцево","0","0","1","1","5599000","259 213 ₽ за м²"
"145","2-к. квартира","69,6 м²","11","15 эт.","ул. Летная, вл. 95Б","Спартак","0","0","1","1","25233912","362 556 ₽ за м²"
"146","3-к. квартира","90,1 м²","16","17 эт.","ул. Краснобогатырская, вл. 38","Преображенская площадь","0","0","1","1","29500000","327 414 ₽ за м²"
"147","3-к. квартира","89,7 м²","4","22 эт.","ул. Летняя, стр. 10-F","Спартак","0","0","1","1","29716713","331 290 ₽ за м²"
"148","4-к. квартира","140,5 м²","4","5 эт.","ул. Грузинская М., д. 44/30, стр. 1","Улица года","0","0","1","1","210000000","1 494 662 ₽ за м²"
"149","3-к. квартира","70 м²","27","32 эт.","ул. Годовикова, д. 11, корп. 4","Алексеевская","0","0","1","1","27450000","392 143 ₽ за м²"
"150","2-к. квартира","60 м²","16","16 эт.","ул. Твардовского, 17к1","Строгино","0","0","1","0","16500000","275 000 ₽ за м²"
"151","1-к. квартира","38,5 м²","18","18 эт.","Москва, улица Марьинский Парк, 23к3, подъезд 1","Люблино","0","0","1","0","9300000","241 558 ₽ за м²"
"152","Апартаменты-студия","31 м²","2","2 эт.","ул. Перерва, 8с1","Марьино","0","0","1","0","4800000","154 839 ₽ за м²"
"153","4-к. квартира","103 м²","19","20 эт.","ул. Академика Волгина, 8А","Беляево","0","0","1","0","36750000","356 796 ₽ за м²"
"154","1-к. квартира","20 м²","2","25 эт.","Рождественская ул., 19к2","Некрасовка","0","0","1","0","3850000","192 500 ₽ за м²"
"155","2-к. квартира","44,5 м²","8","8 эт.","Москва, Дубнинская улица, 73к4, подъезд 4","Селигерская","0","0","1","0","13200000","296 629 ₽ за м²"
"156","3-к. квартира","102 м²","8","9 эт.","Куркинское ш., 17","Планерная","0","0","1","0","23499999","230 392 ₽ за м²"
"157","1-к. квартира","23,3 м²","8","9 эт.","Краснобогатырская ул., 77","Преображенская площадь","0","0","1","0","7700000","330 472 ₽ за м²"
"158","1-к. квартира","21 м²","2","8 эт.","ул. Павла Корчагина, 8","ВДНХ","0","0","1","0","5066000","241 238 ₽ за м²"
"159","2-к. квартира","45 м²","12","12 эт.","Плетешковский пер., 18-20к2","Бауманская","0","0","1","0","15000000","333 333 ₽ за м²"
"160","1-к. квартира","30 м²","4","5 эт.","Писцовая ул., 13","Петровский парк","0","0","1","0","6200000","206 667 ₽ за м²"
"161","2-к. квартира","58 м²","11","25 эт.","рабочий пос. Боброво, Крымская ул., 1","Улица Скобелевская","0","0","1","0","9500000","163 793 ₽ за м²"
"162","1-к. квартира","33 м²","3","22 эт.","Родниковая ул., 30к3","Саларьево","0","0","1","0","12950000","392 424 ₽ за м²"
"163","2-к. квартира","58,6 м²","4","20 эт.","5-й Войковский пр., 16к2","Стрешнево","0","0","1","0","18000000","307 167 ₽ за м²"
"164","1-к. квартира","40 м²","4","10 эт.","Скобелевская ул., 40","Улица Скобелевская","0","0","1","0","9100000","227 500 ₽ за м²"
"165","1-к. апартаменты","39 м²","11","24 эт.","Шелепихинская наб., 34к4","Шелепиха","0","0","1","0","24500000","628 205 ₽ за м²"
"166","1-к. квартира","38,9 м²","20","25 эт.","Люблинская ул., 76к5","Братиславская","0","0","1","0","11000000","282 776 ₽ за м²"
"167","2-к. квартира","55,6 м²","5","12 эт.","Новомарьинская ул., 3к3","Марьино","0","0","1","0","12500000","224 820 ₽ за м²"
"168","1-к. квартира","41 м²","5","5 эт.","Покровская ул., 18","Некрасовка","0","0","1","0","8890000","216 829 ₽ за м²"
"169","2-к. квартира","59 м²","16","20 эт.","Ставропольский пр., 13","Люблино","0","0","1","0","12300000","208 475 ₽ за м²"
"170","1-к. квартира","37,5 м²","16","29 эт.","2-й пер. Петра Алексеева, 5","Давыдково","0","0","1","0","15990000","426 400 ₽ за м²"
"171","Квартира-студия","15 м²","2","17 эт.","Сочинская ул., 5","Некрасовка","0","0","1","0","3250000","216 667 ₽ за м²"
"172","2-к. квартира","51 м²","5","17 эт.","Митинская ул., 47к2","Пятницкое шоссе","0","0","1","0","11990000","235 098 ₽ за м²"
"173","2-к. квартира","96 м²","12","18 эт.","ш. Энтузиастов, 55","Новогиреево","0","0","1","0","17800000","185 417 ₽ за м²"
"174","Апартаменты-студия","19,5 м²","1","9 эт.","Москва, Малая Остроумовская улица, 1/10","Сокольники","0","0","1","0","3950000","202 564 ₽ за м²"
"175","Квартира-студия","17 м²","1","5 эт.","Студенческая ул., 42","Кутузовская","0","0","1","0","7500000","441 176 ₽ за м²"
"176","3-к. квартира","75 м²","10","17 эт.","Рождественская ул., 16","Некрасовка","0","0","1","0","14400000","192 000 ₽ за м²"
"177","2-к. квартира","60,3 м²","1","4 эт.","ул. Маршала Тимошенко, 4","Молодёжная","0","0","1","0","18000000","298 507 ₽ за м²"
"178","3-к. квартира","54 м²","14","16 эт.","Москва, улица Обручева, 18, подъезд 1","Новаторская","0","0","1","0","13799000","255 537 ₽ за м²"
"179","1-к. квартира","39 м²","16","17 эт.","ул. Трофимова, 36к1","Кожуховская","0","0","1","0","12999000","333 308 ₽ за м²"
"180","Квартира-студия","20,3 м²","1","9 эт.","Днепропетровская ул., 7к2","Южная","0","0","1","0","4700000","231 527 ₽ за м²"
"181","Апартаменты-студия","17,4 м²","5","5 эт.","Ботаническая ул., 41к7","Владыкино","0","0","1","0","7500000","431 034 ₽ за м²"
"182","2-к. квартира","56 м²","14","18 эт.","Краснобогатырская ул., 11","Белокаменная","0","0","1","0","16500000","294 643 ₽ за м²"
"183","2-к. апартаменты","26,2 м²","7","9 эт.","Дегунинская ул., 1к4","Селигерская","0","0","1","0","7000000","267 176 ₽ за м²"
